feature,importance_mean,importance_std,target,target_label,best_model
num__player_last5_mean_dmg_per_min,0.06569990079216281,0.0,stable_match,Post-patch stability,random_forest
num__player_prev_mean_cs_per_min,0.058348642175053776,0.0,stable_match,Post-patch stability,random_forest
num__player_last5_mean_cs_per_min,0.053916314052683816,0.0,stable_match,Post-patch stability,random_forest
num__player_last5_mean_performance_index,0.05286858839700171,0.0,stable_match,Post-patch stability,random_forest
num__player_champ_prev_mean_perf,0.04816005605831497,0.0,stable_match,Post-patch stability,random_forest
num__player_last5_mean_gold_per_min,0.047928542567185844,0.0,stable_match,Post-patch stability,random_forest
num__player_prev_mean_kp,0.04597997906225207,0.0,stable_match,Post-patch stability,random_forest
num__player_prev_mean_kda,0.04541592713299999,0.0,stable_match,Post-patch stability,random_forest
num__player_prev_mean_gold_per_min,0.04417849960891044,0.0,stable_match,Post-patch stability,random_forest
num__player_last5_mean_kp,0.04319618556550561,0.0,stable_match,Post-patch stability,random_forest
num__player_prev_mean_win,0.041238067522974764,0.0,stable_match,Post-patch stability,random_forest
num__player_last5_mean_kda,0.04040180789011659,0.0,stable_match,Post-patch stability,random_forest
num__pre_perf_std_window,0.03824757818037509,0.0,stable_match,Post-patch stability,random_forest
num__player_prev_mean_dmg_per_min,0.0380568587745773,0.0,stable_match,Post-patch stability,random_forest
num__player_prev_mean_performance_index,0.03693353027221478,0.0,stable_match,Post-patch stability,random_forest
num__player_champ_prev_games,0.033640838412986276,0.0,stable_match,Post-patch stability,random_forest
num__days_since_patch,0.03167474268889191,0.0,stable_match,Post-patch stability,random_forest
num__player_prev_unique_champs,0.020897545492968843,0.0,stable_match,Post-patch stability,random_forest
num__pre_winrate_window,0.01929577339549251,0.0,stable_match,Post-patch stability,random_forest
num__pre_diversity_entropy_window,0.01654659735822334,0.0,stable_match,Post-patch stability,random_forest
num__pre_champ_games_window,0.015996968717628315,0.0,stable_match,Post-patch stability,random_forest
num__player_last5_mean_win,0.013509049122348658,0.0,stable_match,Post-patch stability,random_forest
cat__patch_14.16,0.01290900316727996,0.0,stable_match,Post-patch stability,random_forest
num__pre_diversity_unique_window,0.012882616449317855,0.0,stable_match,Post-patch stability,random_forest
num__pre_perf_mean_window,0.011877647909108393,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Corki,0.008055210320872192,0.0,stable_match,Post-patch stability,random_forest
cat__primary_tag_Marksman,0.0071456578952732806,0.0,stable_match,Post-patch stability,random_forest
cat__primary_tag_Mage,0.005589303758485373,0.0,stable_match,Post-patch stability,random_forest
num__champ_used_pre_window,0.005229371204436958,0.0,stable_match,Post-patch stability,random_forest
cat__primary_tag_Assassin,0.004990383770929246,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Smolder,0.004501737310355343,0.0,stable_match,Post-patch stability,random_forest
num__new_champion_for_player_patch,0.004356835627196279,0.0,stable_match,Post-patch stability,random_forest
cat__league_name_LCK,0.004152623442650569,0.0,stable_match,Post-patch stability,random_forest
cat__patch_14.13,0.004110438138788682,0.0,stable_match,Post-patch stability,random_forest
cat__league_name_Esports World Cup,0.0037485110997232877,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Azir,0.00341474399770691,0.0,stable_match,Post-patch stability,random_forest
cat__league_name_LPL,0.0033970281745755856,0.0,stable_match,Post-patch stability,random_forest
cat__team_name_Gen.G,0.0033847180275374243,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Ahri,0.00312221387174816,0.0,stable_match,Post-patch stability,random_forest
cat__patch_14.5,0.0030629734427127173,0.0,stable_match,Post-patch stability,random_forest
cat__player_name_knight,0.0030044674175624736,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Yone,0.002941051313759348,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Neeko,0.0028774172379859085,0.0,stable_match,Post-patch stability,random_forest
cat__champion_name_Taliyah,0.0026848502963927393,0.0,stable_match,Post-patch stability,random_forest
