patch,patch_date,player_name,pre_games,post_games,pre_perf,post_perf,delta_perf,abs_delta_perf,pre_winrate,post_winrate,pre_diversity_unique,pre_diversity_entropy,post_diversity_unique,post_diversity_entropy,new_champion_rate,pre_primary_styles,post_primary_styles
14.5,2024-03-06,Bdd,13,20,-0.4503992170086679,-0.04878173778246999,0.40161747922619795,0.40161747922619795,0.38461538461538464,0.65,5,2.1039099102823644,9,2.965957320949175,0.5,"Mage, Marksman","Mage, Marksman"
14.5,2024-03-06,Caps,7,13,0.009732130588916778,-0.04742739964247273,-0.057159530231389505,0.057159530231389505,0.8571428571428571,0.7692307692307693,5,2.1280852788913944,7,2.623516641218016,0.9230769230769231,"Assassin, Mage, Tank",Mage
14.5,2024-03-06,Chovy,12,13,0.438608034405958,0.37340331367201135,-0.06520472073394668,0.06520472073394668,0.8333333333333334,0.9230769230769231,6,1.9473387961875535,9,3.0269868333592873,0.7692307692307693,"Assassin, Mage, Marksman","Assassin, Mage, Marksman"
14.5,2024-03-06,Faker,13,13,0.3078822738895192,-0.24396634504259612,-0.5518486189321153,0.5518486189321153,0.9230769230769231,0.6923076923076923,6,2.345851989338261,7,2.353533948577482,0.3076923076923077,"Mage, Marksman","Assassin, Mage, Marksman"
14.5,2024-03-06,ShowMaker,13,19,0.016399660411931336,-0.4919914510019529,-0.5083911114138843,0.5083911114138843,0.7692307692307693,0.42105263157894735,3,1.2957378005380122,9,2.9450386975402454,0.631578947368421,"Assassin, Mage","Assassin, Mage, Marksman"
14.5,2024-03-06,knight,11,13,-0.3277670264434762,0.28647293972356513,0.6142399661670414,0.6142399661670414,0.7272727272727273,0.9230769230769231,7,2.7321588913645707,5,2.1339375660949167,0.07692307692307693,"Assassin, Mage","Assassin, Mage"
14.13,2024-06-26,Bdd,9,15,-0.6560430977468299,0.2181759275688383,0.8742190253156682,0.8742190253156682,0.1111111111111111,0.7333333333333333,6,2.4193819456463714,5,1.9628066316931743,0.8,"Assassin, Fighter, Mage, Marksman","Mage, Marksman"
14.13,2024-06-26,Caps,7,16,-0.1278227603692806,0.1638915591306171,0.2917143194998977,0.2917143194998977,0.7142857142857143,0.625,4,1.950212064914747,5,2.1800365325772657,0.4375,"Mage, Marksman","Assassin, Marksman"
14.13,2024-06-26,Chovy,8,15,0.6154540552229797,0.4287365577693974,-0.1867174974535823,0.1867174974535823,1.0,0.8,3,1.061278124459133,6,2.332914563979398,0.5333333333333333,"Assassin, Marksman","Assassin, Mage, Marksman"
14.13,2024-06-26,Faker,9,26,0.013754976977588429,-0.11817487172157756,-0.131929848699166,0.131929848699166,0.6666666666666666,0.5384615384615384,5,2.1971597234241496,7,2.1579121667628534,0.07692307692307693,"Mage, Marksman","Fighter, Mage, Marksman"
14.13,2024-06-26,ShowMaker,10,14,-0.21908069257728163,0.028861908602301364,0.247942601179583,0.247942601179583,0.6,0.6428571428571429,4,1.7609640474436814,6,2.35274578087187,0.5714285714285714,"Mage, Marksman","Assassin, Mage, Marksman"
14.13,2024-06-26,knight,11,20,0.14924897489077613,0.03600894207368459,-0.11324003281709154,0.11324003281709154,0.9090909090909091,0.55,6,2.2221915755066783,8,2.565957320949175,0.45,"Assassin, Fighter, Mage, Marksman","Assassin, Mage, Marksman"
14.16,2024-08-14,Bdd,21,8,-0.02277360797964921,0.37255300018959203,0.39532660816924126,0.39532660816924126,0.47619047619047616,0.375,9,2.7966138511441447,2,1.0,0.0,"Fighter, Mage, Marksman",Marksman
14.16,2024-08-14,Caps,17,16,0.0372465500934605,0.22674280741698163,0.18949625732352113,0.18949625732352113,0.5882352941176471,0.75,7,2.4164997849817107,6,2.35845859334435,0.5,"Mage, Marksman","Fighter, Mage, Marksman"
14.16,2024-08-14,Chovy,18,16,0.4374670484421567,0.4583908079234757,0.02092375948131897,0.02092375948131897,0.8333333333333334,0.75,7,2.5941178916311856,5,1.9211796919474975,0.1875,"Assassin, Mage, Marksman","Fighter, Marksman"
14.16,2024-08-14,Faker,19,20,-0.35778445045698903,-0.2872383133789868,0.07054613707800222,0.07054613707800222,0.47368421052631576,0.55,8,2.655050539417775,9,2.765957320949175,0.3,"Assassin, Mage, Marksman","Assassin, Fighter, Mage, Marksman"
14.16,2024-08-14,ShowMaker,22,15,-0.15600221050884502,-0.18357398266229502,-0.027571772153449997,0.027571772153449997,0.5909090909090909,0.5333333333333333,10,3.152391277629867,7,2.7395722619867233,0.5333333333333333,"Assassin, Fighter, Mage, Marksman","Assassin, Fighter, Mage, Marksman"
14.16,2024-08-14,knight,17,10,0.11232669317449251,0.48654851254352777,0.37422181936903526,0.37422181936903526,0.6470588235294118,0.9,6,2.3686816089636555,4,1.5709505944546687,0.3,"Assassin, Mage, Marksman","Fighter, Marksman"
