game_id,player_id,player_name,team_name,team_acronym,role,champion_name,win,game_length,player_kills,player_deaths,player_assists,total_minions_killed,gold_earned,total_damage_dealt_to_champions,team_kills
30072,6,knight,Bilibili Gaming,BLG,Mid,Tristana,1,1625,4,1,4,249,11575,18102,16
30073,6,knight,Bilibili Gaming,BLG,Mid,Orianna,1,1396,3,2,7,202,9498,13088,19
30074,6,knight,Bilibili Gaming,BLG,Mid,Tristana,1,1623,10,3,6,242,14412,27681,28
30078,6,knight,Bilibili Gaming,BLG,Mid,Neeko,1,1819,2,6,10,238,11765,17599,18
30079,6,knight,Bilibili Gaming,BLG,Mid,Ahri,1,1403,9,0,9,219,12373,20209,21
30080,6,knight,Bilibili Gaming,BLG,Mid,Akali,1,1863,11,1,7,253,14605,20251,21
30007,2,Caps,G2 Esports,G2,Mid,Neeko,1,1749,2,0,7,281,12609,16062,14
30014,2,Caps,G2 Esports,G2,Mid,LeBlanc,1,1925,3,2,3,321,14451,17865,15
30020,2,Caps,G2 Esports,G2,Mid,Neeko,0,2260,0,6,3,327,14349,14508,6
30335,3,Chovy,Gen.G,GEN,Mid,Corki,0,1739,2,1,2,267,12050,18417,4
30335,4,Faker,T1,T1,Mid,Neeko,1,1739,1,3,5,249,11340,11872,6
30336,3,Chovy,Gen.G,GEN,Mid,Tristana,1,1890,8,2,7,333,16933,25971,17
30336,4,Faker,T1,T1,Mid,Azir,0,1890,0,5,5,252,10921,10755,10
30337,3,Chovy,Gen.G,GEN,Mid,Yone,1,2571,7,2,9,409,21194,18831,25
30337,4,Faker,T1,T1,Mid,Azir,0,2571,3,3,5,393,18767,28118,10
30338,5,ShowMaker,Dplus KIA,DK,Mid,Neeko,1,1752,2,1,5,264,12408,10823,15
30339,5,ShowMaker,Dplus KIA,DK,Mid,Sylas,1,2348,4,1,6,330,17250,28556,13
30340,1,Bdd,KT Rolster,KT,Mid,Orianna,1,2068,0,3,12,314,13466,13099,15
30341,1,Bdd,KT Rolster,KT,Mid,Taliyah,1,1591,7,3,9,208,11956,15990,27
30344,4,Faker,T1,T1,Mid,Orianna,1,1556,6,1,11,248,13343,21012,21
30345,4,Faker,T1,T1,Mid,Corki,1,1606,4,2,4,225,11346,14940,17
30348,3,Chovy,Gen.G,GEN,Mid,Taliyah,1,1567,1,1,11,265,11848,23308,16
30349,3,Chovy,Gen.G,GEN,Mid,Taliyah,1,1387,4,0,5,244,11160,15569,17
30999,2,Caps,G2 Esports,G2,Mid,Azir,1,1883,4,1,6,300,14091,19456,15
30352,1,Bdd,KT Rolster,KT,Mid,Tristana,0,1544,0,3,3,240,9630,8570,3
30352,5,ShowMaker,Dplus KIA,DK,Mid,Syndra,1,1544,6,1,4,218,11231,14690,11
30353,1,Bdd,KT Rolster,KT,Mid,Azir,1,2700,6,3,5,409,19977,27897,14
30353,5,ShowMaker,Dplus KIA,DK,Mid,Akali,0,2700,5,3,6,395,19028,10154,17
30354,1,Bdd,KT Rolster,KT,Mid,Syndra,1,2350,3,2,9,336,14976,20928,13
30354,5,ShowMaker,Dplus KIA,DK,Mid,Orianna,0,2350,2,2,3,334,14682,18470,5
31010,2,Caps,G2 Esports,G2,Mid,Tristana,1,1699,1,2,6,242,11561,13072,16
31246,6,knight,Bilibili Gaming,BLG,Mid,LeBlanc,1,1623,4,0,6,247,13156,26195,17
31247,6,knight,Bilibili Gaming,BLG,Mid,Orianna,0,1834,3,3,2,266,11973,24709,6
31248,6,knight,Bilibili Gaming,BLG,Mid,LeBlanc,1,1649,6,1,4,247,12034,22415,19
31003,2,Caps,G2 Esports,G2,Mid,Tristana,0,1913,2,3,0,302,13217,11976,2
30357,1,Bdd,KT Rolster,KT,Mid,Orianna,1,2428,10,3,10,379,18499,31499,24
30358,1,Bdd,KT Rolster,KT,Mid,Orianna,0,1878,2,5,6,249,10542,9746,11
30359,1,Bdd,KT Rolster,KT,Mid,Azir,0,2078,2,4,7,320,13752,15248,10
30360,5,ShowMaker,Dplus KIA,DK,Mid,LeBlanc,1,1558,5,1,5,267,11549,19647,15
30361,5,ShowMaker,Dplus KIA,DK,Mid,Kassadin,1,1561,12,0,1,257,13978,23371,17
30362,3,Chovy,Gen.G,GEN,Mid,Corki,1,1902,5,2,8,338,17960,34622,16
30363,3,Chovy,Gen.G,GEN,Mid,Jayce,1,1657,10,1,4,284,15383,32345,24
30364,1,Bdd,KT Rolster,KT,Mid,Taliyah,1,2130,2,2,8,320,13146,15613,18
30364,4,Faker,T1,T1,Mid,Azir,0,2130,2,2,3,326,13759,14046,13
30365,1,Bdd,KT Rolster,KT,Mid,Akali,0,1271,3,4,2,160,8039,11253,6
30365,4,Faker,T1,T1,Mid,Corki,1,1271,5,0,11,170,9670,20844,23
30366,1,Bdd,KT Rolster,KT,Mid,Azir,0,1751,0,2,0,264,9757,10366,2
30366,4,Faker,T1,T1,Mid,Orianna,1,1751,7,0,7,287,14638,21730,16
31269,6,knight,Bilibili Gaming,BLG,Mid,Neeko,1,1915,4,2,8,259,13616,14692,23
31270,6,knight,Bilibili Gaming,BLG,Mid,Akali,1,2244,7,2,4,316,16371,27128,14
30370,3,Chovy,Gen.G,GEN,Mid,K'Sante,0,2224,3,6,2,331,15122,15241,7
30370,5,ShowMaker,Dplus KIA,DK,Mid,Sylas,1,2224,5,0,7,356,17956,18219,17
30371,3,Chovy,Gen.G,GEN,Mid,Jayce,1,2552,3,1,3,403,19109,30728,11
30371,5,ShowMaker,Dplus KIA,DK,Mid,Syndra,0,2552,4,2,2,356,16508,26089,8
30372,3,Chovy,Gen.G,GEN,Mid,Tristana,1,1773,4,0,2,361,15800,17497,14
30372,5,ShowMaker,Dplus KIA,DK,Mid,Azir,0,1773,1,2,2,277,10773,13661,4
31015,2,Caps,G2 Esports,G2,Mid,LeBlanc,1,1580,4,1,0,283,13797,18778,10
30378,4,Faker,T1,T1,Mid,Neeko,1,2173,4,2,7,308,15274,21439,15
30379,4,Faker,T1,T1,Mid,Orianna,1,1689,5,2,8,237,12652,20625,18
31019,2,Caps,G2 Esports,G2,Mid,Akali,1,2380,9,3,9,353,18649,29108,29
31287,6,knight,Bilibili Gaming,BLG,Mid,Syndra,1,2259,8,1,8,345,17864,25071,18
31288,6,knight,Bilibili Gaming,BLG,Mid,Neeko,1,1600,6,4,8,206,12346,19334,16
31026,2,Caps,G2 Esports,G2,Mid,LeBlanc,1,1676,3,2,2,264,11584,12936,18
30380,5,ShowMaker,Dplus KIA,DK,Mid,LeBlanc,0,2316,3,1,3,359,14830,35840,6
30381,5,ShowMaker,Dplus KIA,DK,Mid,Tristana,0,1900,2,2,1,313,12694,9616,4
30382,1,Bdd,KT Rolster,KT,Mid,Corki,1,1897,7,1,6,348,17312,24270,15
30383,1,Bdd,KT Rolster,KT,Mid,Taliyah,1,1690,4,0,16,271,12957,18634,23
30384,4,Faker,T1,T1,Mid,Orianna,1,1745,2,2,10,259,12769,16540,17
30385,4,Faker,T1,T1,Mid,Neeko,1,1439,3,1,0,224,10499,10175,13
30389,3,Chovy,Gen.G,GEN,Mid,Neeko,1,2050,2,2,7,312,13419,18018,20
30390,3,Chovy,Gen.G,GEN,Mid,Yone,1,1449,5,1,7,219,11623,15012,20
30391,5,ShowMaker,Dplus KIA,DK,Mid,LeBlanc,0,1755,0,4,5,245,9996,12913,6
30392,5,ShowMaker,Dplus KIA,DK,Mid,Orianna,0,2033,0,2,5,307,12601,14818,6
30395,1,Bdd,KT Rolster,KT,Mid,Corki,0,2210,0,2,2,346,15283,31390,4
30396,1,Bdd,KT Rolster,KT,Mid,Orianna,1,1654,5,1,8,254,12032,13333,19
30397,1,Bdd,KT Rolster,KT,Mid,Orianna,1,2511,4,2,15,333,17739,23920,19
30393,4,Faker,T1,T1,Mid,Orianna,1,1471,1,2,5,221,9140,12686,11
30394,4,Faker,T1,T1,Mid,Taliyah,1,1841,8,2,10,288,15862,25622,20
31316,6,knight,Bilibili Gaming,BLG,Mid,Azir,1,1330,5,0,2,230,11524,16733,14
31317,6,knight,Bilibili Gaming,BLG,Mid,Neeko,1,1482,0,2,10,173,8757,8641,15
32320,2,Caps,G2 Esports,G2,Mid,Hwei,1,1928,10,0,9,276,15079,27956,21
32321,2,Caps,G2 Esports,G2,Mid,Azir,1,1350,5,1,5,216,10770,23079,21
30401,3,Chovy,Gen.G,GEN,Mid,Corki,1,1962,8,1,5,309,18047,47165,18
30402,3,Chovy,Gen.G,GEN,Mid,Azir,1,1417,2,1,4,248,11403,13533,15
32333,2,Caps,G2 Esports,G2,Mid,LeBlanc,1,1924,2,1,9,306,13031,21951,22
32334,2,Caps,G2 Esports,G2,Mid,Azir,0,1843,3,3,3,299,13737,16729,6
32335,2,Caps,G2 Esports,G2,Mid,Hwei,1,1815,8,2,9,263,13431,24895,23
31334,6,knight,Bilibili Gaming,BLG,Mid,Karma,1,2162,1,1,8,264,13211,19309,14
31335,6,knight,Bilibili Gaming,BLG,Mid,Karma,1,2776,7,4,8,315,18846,40870,17
32432,2,Caps,G2 Esports,G2,Mid,Azir,1,2103,4,2,4,377,18251,18842,9
32433,2,Caps,G2 Esports,G2,Mid,K'Sante,1,1899,2,3,8,273,12006,9687,17
32434,2,Caps,G2 Esports,G2,Mid,Hwei,1,1714,8,1,9,208,12312,26309,27
