game_id,date,league_name,series_name,tournament_name,player_name,team_name,team_acronym,role,champion_name,primary_tag,tags,win,game_length,player_kills,player_deaths,player_assists,total_minions_killed,gold_earned,total_damage_dealt_to_champions,team_kills,kda,cs_per_min,dmg_per_min,gold_per_min,kp,performance_index
30072,2024-01-03 09:08:32.430000,Demacia Cup,Demacia Cup 2023,Playoffs,knight,Bilibili Gaming,BLG,Mid,Tristana,Marksman,"Marksman, Assassin",True,1625,4,1,4,249,11575,18102,16,8.0,9.193846153846154,668.3815384615385,427.3846153846154,0.5,-0.03893367524946469
30073,2024-01-03 09:54:00.478000,Demacia Cup,Demacia Cup 2023,Playoffs,knight,Bilibili Gaming,BLG,Mid,Orianna,Mage,"Mage, Support",True,1396,3,2,7,202,9498,13088,19,5.0,8.681948424068768,562.5214899713467,408.2234957020057,0.5263157894736842,-0.3272988781911375
30074,2024-01-03 10:35:15.933000,Demacia Cup,Demacia Cup 2023,Playoffs,knight,Bilibili Gaming,BLG,Mid,Tristana,Marksman,"Marksman, Assassin",True,1623,10,3,6,242,14412,27681,28,5.333333333333333,8.946395563770794,1023.3271719038817,532.7911275415896,0.5714285714285714,0.45606855073172653
30078,2024-01-06 09:16:15.868000,Demacia Cup,Demacia Cup 2023,Playoffs,knight,Bilibili Gaming,BLG,Mid,Neeko,Mage,"Mage, Support",True,1819,2,6,10,238,11765,17599,18,2.0,7.850467289719626,580.5057724024189,388.07036833424957,0.6666666666666666,-0.4749373079528441
30079,2024-01-06 10:06:55.895000,Demacia Cup,Demacia Cup 2023,Playoffs,knight,Bilibili Gaming,BLG,Mid,Ahri,Mage,"Mage, Assassin",True,1403,9,0,9,219,12373,20209,21,18.0,9.365645046329295,864.248039914469,529.1375623663578,0.8571428571428571,1.0775687786120653
30080,2024-01-06 10:49:28.062000,Demacia Cup,Demacia Cup 2023,Playoffs,knight,Bilibili Gaming,BLG,Mid,Akali,Assassin,Assassin,True,1863,11,1,7,253,14605,20251,21,18.0,8.148148148148149,652.2061191626409,470.3703703703704,0.8571428571428571,0.5654204648811408
30007,2024-01-13 16:05:40.125000,LEC,LEC Winter 2024,Regular Season,Caps,G2 Esports,G2,Mid,Neeko,Mage,"Mage, Support",True,1749,2,0,7,281,12609,16062,14,9.0,9.639794168096055,551.0120068610635,432.5557461406518,0.6428571428571429,0.12257401972720557
30014,2024-01-14 18:49:28.371868,LEC,LEC Winter 2024,Regular Season,Caps,G2 Esports,G2,Mid,LeBlanc,Assassin,"Assassin, Mage",True,1925,3,2,3,321,14451,17865,15,3.0,10.005194805194805,556.8311688311688,450.4207792207792,0.4,-0.18577134694890973
30020,2024-01-15 17:01:29.311913,LEC,LEC Winter 2024,Regular Season,Caps,G2 Esports,G2,Mid,Neeko,Mage,"Mage, Support",False,2260,0,6,3,327,14349,14508,6,0.5,8.68141592920354,385.1681415929204,380.9469026548673,0.5,-1.0604691116172182
30335,2024-01-17 11:00:30.480829,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Corki,Marksman,Marksman,False,1739,2,1,2,267,12050,18417,4,4.0,9.212190914318574,635.4341575618171,415.7561817136285,1.0,-0.12644693007109228
30335,2024-01-17 11:00:30.480829,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Neeko,Mage,"Mage, Support",True,1739,1,3,5,249,11340,11872,6,2.0,8.591144335825186,409.6147211040828,391.2593444508338,1.0,-0.17314700577629835
30336,2024-01-17 11:51:39.799801,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Tristana,Marksman,"Marksman, Assassin",True,1890,8,2,7,333,16933,25971,17,7.5,10.571428571428571,824.4761904761905,537.5555555555555,0.8823529411764706,0.9325534009993518
30336,2024-01-17 11:51:39.799801,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Azir,Mage,"Mage, Marksman",False,1890,0,5,5,252,10921,10755,10,1.0,8.0,341.42857142857144,346.6984126984127,0.5,-1.2795375545984389
30337,2024-01-17 12:45:09.682070,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Yone,Assassin,"Assassin, Fighter",True,2571,7,2,9,409,21194,18831,25,8.0,9.54492415402567,439.46324387397897,494.60910151691945,0.64,0.16644968819785153
30337,2024-01-17 12:45:09.682070,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Azir,Mage,"Mage, Marksman",False,2571,3,3,5,393,18767,28118,10,2.6666666666666665,9.171528588098017,656.196032672112,437.96966161026836,0.8,-0.28014018682323816
30338,2024-01-18 08:07:29.326000,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Neeko,Mage,"Mage, Support",True,1752,2,1,5,264,12408,10823,15,7.0,9.04109589041096,370.6506849315069,424.9315068493151,0.4666666666666667,-0.3507301344294425
